date,temperature,pressure,110,stdev [110],direction [110],320,stdev [320],direction [320],500,stdev [500],direction [500],800,stdev [800],direction [800],1000,stdev [1000],direction [1000],1500,stdev [1500],direction [1500],1900,stdev [1900],direction [1900],3200,stdev [3200],direction [3200],4200,stdev [4200],direction [4200],5600,stdev [5600],direction [5600],7200,stdev [7200],direction [7200],9200,stdev [9200],direction [9200],10400,stdev [10400],direction [10400],11800,stdev [11800],direction [11800],13500,stdev [13500],direction [13500],15800,stdev [15800],direction [15800],17700,stdev [17700],direction [17700],19300,stdev [19300],direction [19300],22000,stdev [22000],direction [22000]
2021-08-04 17:00:00,24.3815,1017.2,7.168528,0.0,192.5288,7.0357943,0.0,193.24052,11.37165,0.0,197.10281,12.362605,0.0,198.43504,12.762073,0.0,202.93213,12.797261,0.0,232.02834,14.581299,0.0,268.93912,9.925041,0.0,258.31067,9.107565,0.0,247.1663,6.6077857,0.0,258.6901,2.8977058,0.0,333.43503,7.5840216,0.0,340.0168,9.277185,0.0,335.22488,12.3790045,0.0,353.9911,11.015093,0.0,360.0,8.813027,0.0,323.97253,7.8291693,0.0,24.443953,2.0489872,0.0,161.56496,11.015093,0.0,90.0
2021-08-04 18:00:00,25.5815,1016.6,7.3275294,0.0,201.80147,7.220791,0.0,202.98874,11.226658,0.0,204.17911,12.141224,0.0,206.56499,12.338721,0.0,208.44283,11.530539,0.0,230.19447,13.231666,0.0,268.8309,12.2911825,0.0,258.9965,9.927811,0.0,249.14546,7.244264,0.0,259.69522,1.2958934,0.0,270.0,4.717123,0.0,344.05453,7.3877287,0.0,344.7448,13.622299,0.0,357.27374,13.023566,0.0,354.2895,8.247014,0.0,315.0001,8.118749,0.0,298.61035,3.88768,0.0,180.0,11.091061,0.0,83.29026
2021-08-04 19:00:00,26.3315,1016.0,6.1776204,0.0,204.14554,6.401679,0.0,204.14554,10.095666,0.0,207.09547,11.287551,0.0,210.01828,11.911048,0.0,213.38853,12.364145,0.0,227.41954,13.239926,0.0,253.41258,15.420304,0.0,268.75467,11.176294,0.0,251.56496,7.5840216,0.0,250.0168,2.336205,0.0,213.6901,4.148883,0.0,321.34015,6.3815346,0.0,336.0375,14.2548275,0.0,360.0,14.2548275,0.0,360.0,5.7954116,0.0,296.56497,12.779506,0.0,300.46545,2.0489872,0.0,198.43504,9.805212,0.0,82.40546
2021-08-05 11:00:00,17.5815,1014.9,5.677211,0.0,218.04709,5.60045,0.0,217.6943,22.843924,0.0,237.32779,26.128635,0.0,256.5413,24.740507,0.0,264.75827,22.770458,0.0,263.79663,19.66395,0.0,261.31372,15.594142,0.0,241.78275,16.417412,0.0,246.19405,19.144604,0.0,246.0375,17.60222,0.0,263.6599,19.26484,0.0,340.3461,25.632822,0.0,339.27435,23.824709,0.0,337.6198,9.163349,0.0,315.0001,9.740774,0.0,266.186,12.293924,0.0,251.56496,4.9346147,0.0,246.80139,12.580849,0.0,78.11137
2021-08-05 12:00:00,18.8815,1015.9,5.988163,0.0,215.75398,5.9243574,0.0,215.3113,19.366348,0.0,235.10922,23.626709,0.0,251.23184,22.258871,0.0,260.05948,20.914734,0.0,261.20267,19.649115,0.0,257.3004,16.840818,0.0,238.84074,16.822552,0.0,246.80139,20.096796,0.0,249.22766,15.55072,0.0,270.0,17.968111,0.0,334.35904,24.078869,0.0,336.19403,22.314215,0.0,334.17905,8.813027,0.0,306.02747,9.911678,0.0,258.6901,10.783982,0.0,237.26477,4.0979743,0.0,251.56496,12.580849,0.0,78.11137
2021-08-05 13:00:00,21.1315,1015.6,5.779452,0.0,222.27362,5.841592,0.0,223.60289,13.3393545,0.0,234.5666,20.36717,0.0,248.08508,20.996275,0.0,255.66452,19.162352,0.0,257.3914,18.542185,0.0,253.93994,16.093933,0.0,238.62704,16.653475,0.0,248.19853,21.313408,0.0,250.46326,15.604623,0.0,274.76355,18.924036,0.0,321.9529,23.008951,0.0,327.6526,22.295391,0.0,324.46225,10.447826,0.0,299.74478,9.2771845,0.0,257.90524,10.996019,0.0,224.9999,2.0489872,0.0,251.56496,11.091061,0.0,83.29026
2021-08-05 14:00:00,23.1815,1015.6,5.7696366,0.0,212.61923,5.8102508,0.0,213.6901,10.790119,0.0,224.21527,16.540607,0.0,240.06857,18.638739,0.0,247.1663,18.753576,0.0,250.85176,18.200989,0.0,249.14546,16.669876,0.0,239.82657,17.06445,0.0,248.74942,23.154463,0.0,252.07199,16.198666,0.0,270.0,19.330107,0.0,320.44037,22.981564,0.0,319.574,20.2425,0.0,320.1945,10.725427,0.0,295.01685,9.2771845,0.0,257.90524,10.627115,0.0,217.56866,1.8326701,0.0,224.9999,11.681025,0.0,93.17977
2021-08-05 15:00:00,24.8315,1015.6,6.825619,0.0,199.9832,6.884218,0.0,200.55612,11.329311,0.0,209.8759,12.686503,0.0,218.04709,16.138456,0.0,232.96953,19.041914,0.0,244.7595,19.802458,0.0,244.1337,17.762676,0.0,238.10924,18.048288,0.0,248.45895,22.53886,0.0,251.56496,15.564214,0.0,267.6141,19.70653,0.0,313.66785,22.981564,0.0,310.426,21.155237,0.0,310.0302,9.63242,0.0,289.6539,10.058838,0.0,255.06853,12.052505,0.0,233.74606,2.8977058,0.0,206.56499,11.734814,0.0,96.340096
2021-08-05 16:00:00,26.6815,1014.9,7.215811,0.0,207.25525,7.206729,0.0,206.56499,12.18757,0.0,210.96368,13.434142,0.0,214.46088,14.297048,0.0,219.22566,18.651608,0.0,239.0363,21.370918,0.0,243.75871,18.405523,0.0,236.88864,18.391073,0.0,245.89777,21.313408,0.0,250.46326,15.564214,0.0,267.6141,19.780952,0.0,301.60745,23.982782,0.0,308.4181,21.771393,0.0,306.52896,8.644687,0.0,282.99463,11.681025,0.0,250.55988,11.315902,0.0,246.3706,3.3038929,0.0,258.6901,9.163349,0.0,98.13002
2021-08-05 17:00:00,27.3315,1014.8,7.4401097,0.0,213.2749,7.5423594,0.0,214.11452,12.416621,0.0,216.09837,13.639734,0.0,217.23491,14.297048,0.0,219.22566,17.0774,0.0,233.79045,19.725014,0.0,239.5743,19.716658,0.0,238.20113,19.398195,0.0,239.9315,19.876232,0.0,250.9743,16.85907,0.0,272.20255,20.335619,0.0,300.65057,25.559011,0.0,300.46545,22.908375,0.0,298.7397,9.805212,0.0,277.59454,11.315902,0.0,246.3706,11.334437,0.0,239.0363,2.0489872,0.0,198.43504,10.14197,0.0,116.56499
